nome,inicio,fim,tipo
CNT,1,3,A
COUNTRY,4,6,A
OECD,7,7,"F,0"
SUBNATIO,8,12,A
SCHOOLID,13,17,A
StIDStd,18,22,A
BOOKID,23,24,"F,0"
M033Q01,25,25,A
M034Q01T,26,26,A
M155Q01,27,27,A
M155Q02D,28,28,A
M155Q03D,29,29,A
M155Q04T,30,30,A
M192Q01T,31,31,A
M273Q01T,32,32,A
M406Q01,33,33,A
M406Q02,34,34,A
M408Q01T,35,35,A
M411Q01,36,36,A
M411Q02,37,37,A
M420Q01T,38,38,A
M423Q01,39,39,A
M442Q02,40,40,A
M446Q01,41,41,A
M446Q02,42,42,A
M447Q01,43,43,A
M462Q01D,44,44,A
M464Q01T,45,45,A
M474Q01,46,46,A
M496Q01T,47,47,A
M496Q02,48,48,A
M559Q01,49,49,A
M564Q01,50,50,A
M564Q02,51,51,A
M571Q01,52,52,A
M603Q01T,53,53,A
M603Q02T,54,54,A
M800Q01,55,55,A
M803Q01T,56,56,A
M828Q01,57,57,A
M828Q02,58,58,A
M828Q03,59,59,A
R055Q01,60,60,A
R055Q02,61,61,A
R055Q03,62,62,A
R055Q05,63,63,A
R067Q01,64,64,A
R067Q04,65,65,A
R067Q05,66,66,A
R083Q01,67,67,A
R083Q02,68,68,A
R083Q03,69,69,A
R083Q04,70,70,A
R101Q01,71,71,A
R101Q02,72,72,A
R101Q03,73,73,A
R101Q04,74,74,A
R101Q05,75,75,A
R102Q04A,76,76,A
R102Q05,77,77,A
R102Q07,78,78,A
R104Q01,79,79,A
R104Q02,80,80,A
R104Q05,81,81,A
R111Q01,82,82,A
R111Q02B,83,83,A
R111Q06B,84,84,A
R219Q02,85,85,A
R220Q01,86,86,A
R220Q02B,87,87,A
R220Q04,88,88,A
R220Q05,89,89,A
R220Q06,90,90,A
R227Q01,91,91,A
R227Q02T,92,92,A
R227Q03,93,93,A
R227Q06,94,94,A
R245Q01,95,95,A
R245Q02,96,96,A
R403Q01,97,97,A
R403Q02,98,98,A
R403Q03,99,99,A
R403Q04,100,100,A
R404Q03,101,101,A
R404Q06,102,102,A
R404Q07T,103,103,A
R404Q10A,104,104,A
R404Q10B,105,105,A
R406Q01,106,106,A
R406Q02,107,107,A
R406Q05,108,108,A
R412Q01,109,109,A
R412Q05,110,110,A
R412Q06T,111,111,A
R412Q08,112,112,A
R414Q02,113,113,A
R414Q06,114,114,A
R414Q09,115,115,A
R414Q11,116,116,A
R417Q03,117,117,A
R417Q04,118,118,A
R417Q06,119,119,A
R417Q08,120,120,A
R420Q02,121,121,A
R420Q06,122,122,A
R420Q09,123,123,A
R420Q10,124,124,A
R424Q02T,125,125,A
R424Q03,126,126,A
R424Q07,127,127,A
R429Q08,128,128,A
R429Q09,129,129,A
R429Q11,130,130,A
R432Q01,131,131,A
R432Q05,132,132,A
R432Q06T,133,133,A
R433Q01,134,134,A
R433Q02,135,135,A
R433Q05,136,136,A
R433Q07,137,137,A
R435Q01,138,138,A
R435Q02,139,139,A
R435Q05,140,140,A
R435Q08T,141,141,A
R437Q01,142,142,A
R437Q06,143,143,A
R437Q07,144,144,A
R442Q02,145,145,A
R442Q03,146,146,A
R442Q05,147,147,A
R442Q06,148,148,A
R442Q07,149,149,A
R445Q01,150,150,A
R445Q03,151,151,A
R445Q04,152,152,A
R445Q06,153,153,A
R446Q03,154,154,A
R446Q06,155,155,A
R447Q01T,156,156,A
R447Q04,157,157,A
R447Q05,158,158,A
R447Q06,159,159,A
R452Q03,160,160,A
R452Q04,161,161,A
R452Q06,162,162,A
R452Q07,163,163,A
R453Q01,164,164,A
R453Q04,165,165,A
R453Q05T,166,166,A
R453Q06,167,167,A
R455Q02,168,168,A
R455Q03,169,169,A
R455Q04,170,170,A
R455Q05T,171,171,A
R456Q01,172,172,A
R456Q02,173,173,A
R456Q06,174,174,A
R458Q01,175,175,A
R458Q04,176,176,A
R458Q07,177,177,A
R460Q01,178,178,A
R460Q05,179,179,A
R460Q06,180,180,A
R462Q02,181,181,A
R462Q04,182,182,A
R462Q05,183,183,A
R465Q01,184,184,A
R465Q02,185,185,A
R465Q05,186,186,A
R465Q06,187,187,A
R466Q02,188,188,A
R466Q03T,189,189,A
R466Q06,190,190,A
S131Q02D,191,191,A
S131Q04D,192,192,A
S256Q01,193,193,A
S269Q01,194,194,A
S269Q03D,195,195,A
S269Q04T,196,196,A
S326Q01,197,197,A
S326Q02,198,198,A
S326Q03,199,199,A
S326Q04T,200,200,A
S408Q01,201,201,A
S408Q03,202,202,A
S408Q04T,203,203,A
S408Q05,204,204,A
S413Q04T,205,205,A
S413Q05,206,206,A
S413Q06,207,207,A
S415Q02,208,208,A
S415Q07T,209,209,A
S415Q08T,210,210,A
S425Q02,211,211,A
S425Q03,212,212,A
S425Q04,213,213,A
S425Q05,214,214,A
S428Q01,215,215,A
S428Q03,216,216,A
S428Q05,217,217,A
S438Q01T,218,218,A
S438Q02,219,219,A
S438Q03D,220,220,A
S465Q01,221,221,A
S465Q02,222,222,A
S465Q04,223,223,A
S466Q01T,224,224,A
S466Q05,225,225,A
S466Q07T,226,226,A
S478Q01,227,227,A
S478Q02T,228,228,A
S478Q03T,229,229,A
S498Q02T,230,230,A
S498Q03,231,231,A
S498Q04,232,232,A
S514Q02,233,233,A
S514Q03,234,234,A
S514Q04,235,235,A
S519Q01,236,236,A
S519Q02T,237,237,A
S519Q03,238,238,A
S521Q02,239,239,A
S521Q06,240,240,A
S527Q01T,241,241,A
S527Q03T,242,242,A
S527Q04T,243,243,A
R111Q06A,244,244,A
M034Q01R,245,252,"F,0"
M155Q02R,253,254,A
M155Q03R,255,256,A
M155Q04R,257,260,A
M192Q01R,261,263,A
M273Q01R,264,267,A
M408Q01R,268,271,A
M420Q01R,272,275,A
M462Q01R,276,277,A
M464Q01R,278,285,"F,0"
M496Q01R,286,289,A
M603Q01R,290,292,A
M603Q02R,293,300,"F,0"
M803Q01R,301,308,"F,0"
R227Q02R,309,315,A
R404Q07R,316,318,A
R412Q06R,319,320,A
R424Q02R,321,323,A
R432Q06R,324,332,A
R435Q08R,333,335,A
R447Q01R,336,338,A
R453Q05R,339,342,A
R455Q05R,343,346,A
R466Q03R,347,349,A
S131Q02R,350,351,A
S131Q04R,352,353,A
S269Q03R,354,355,A
S269Q04R,356,359,A
S326Q04R,360,362,A
S408Q04R,363,365,A
S413Q04R,366,368,A
S415Q07R,369,370,A
S415Q08R,371,373,A
S438Q01R,374,376,A
S438Q03R,377,378,A
S466Q01R,379,381,A
S466Q07R,382,383,A
S478Q02R,384,386,A
S478Q03R,387,388,A
S498Q02R,389,391,A
S519Q02R,392,393,A
S527Q01R,394,396,A
S527Q03R,397,398,A
S527Q04R,399,401,A
TESTLANG,402,404,A
VER_COGN,405,417,A
